CUI	IC
C5225004	9.250810304529896
C2455812	9.250810304529896
C4545685	9.250810304529896
C4050410	9.250810304529896
C2551745	9.250810304529896
C5415675	9.250810304529896
C2455024	9.250810304529896
C2042970	9.250810304529896
C2456872	9.250810304529896
C4264787	9.250810304529896
C3694985	9.250810304529896
C2238843	9.250810304529896
C2454633	9.250810304529896
C3898502	9.250810304529896
C3860957	9.250810304529896
C0753357	9.250810304529896
C2321363	9.250810304529896
C2455537	9.250810304529896
C0845932	9.250810304529896
C1525221	9.250810304529896
C0203451	9.250810304529896
C5571600	9.250810304529896
C5224870	9.250810304529896
C1442060	9.250810304529896
C5189626	9.250810304529896
C3866555	9.250810304529896
C5145048	9.250810304529896
C3862808	9.250810304529896
C2455209	9.250810304529896
C2238975	9.250810304529896
C5194839	9.250810304529896
C2456576	9.250810304529896
C3839313	9.250810304529896
C2457476	9.250810304529896
C5923601	9.250810304529896
C1524234	9.250810304529896
C1562775	9.250810304529896
C2368250	9.250810304529896
C0846151	9.250810304529896
C4075924	9.250810304529896
C3872937	9.250810304529896
C3825924	9.250810304529896
C1508286	9.250810304529896
C5410901	9.250810304529896
C5852378	9.250810304529896
C1525196	9.250810304529896
C2456939	9.250810304529896
C1142500	9.250810304529896
C4537761	9.250810304529896
C5779200	9.250810304529896
C3809178	9.250810304529896
C4028566	9.250810304529896
C2238863	9.250810304529896
C1547103	9.250810304529896
C0203858	9.250810304529896
C2318095	9.250810304529896
C1442031	9.250810304529896
C5224976	9.250810304529896
C5696472	9.250810304529896
C2322461	9.250810304529896
C4746954	9.250810304529896
C5223363	9.250810304529896
C5388475	9.250810304529896
C2436347	9.250810304529896
C2453205	9.250810304529896
C2454604	9.250810304529896
C5224947	9.250810304529896
C5543625	9.250810304529896
C4758288	9.250810304529896
C5223435	9.250810304529896
C5224879	9.250810304529896
C2456004	9.250810304529896
C5765128	9.250810304529896
C0373164	9.250810304529896
C2456548	9.250810304529896
C4029055	9.250810304529896
C2419140	9.250810304529896
C0743043	9.250810304529896
C2455658	9.250810304529896
C4051818	9.250810304529896
C2318157	9.250810304529896
C5224999	9.250810304529896
C5559490	9.250810304529896
C2455559	9.250810304529896
C0242384	9.250810304529896
C1625218	9.250810304529896
C2456316	9.250810304529896
C2238902	9.250810304529896
C4028274	9.250810304529896
C5220156	9.250810304529896
C2238773	9.250810304529896
C5779179	9.250810304529896
C5388250	9.250810304529896
C5577982	9.250810304529896
C2322515	9.250810304529896
C5559742	9.250810304529896
C2457143	9.250810304529896
C2481453	9.250810304529896
C5415496	9.250810304529896
C2042792	9.250810304529896
C3845856	9.250810304529896
C5410825	9.250810304529896
C5224004	9.250810304529896
C5219725	9.250810304529896
C1524494	9.250810304529896
C5208281	9.250810304529896
C3860974	9.250810304529896
C1543262	9.250810304529896
C2319242	9.250810304529896
C1279183	9.250810304529896
C3861043	9.250810304529896
C2206059	9.250810304529896
C5224009	9.250810304529896
C5431786	9.250810304529896
C5223323	9.250810304529896
C5410842	9.250810304529896
C3866657	9.250810304529896
C5411722	9.250810304529896
C5407467	9.250810304529896
C2455213	9.250810304529896
C5555436	9.250810304529896
C2455652	9.250810304529896
C0199687	9.250810304529896
C4028504	9.250810304529896
C0405522	9.250810304529896
C5189699	9.250810304529896
C1524901	9.250810304529896
C5189681	9.250810304529896
C2042445	9.250810304529896
C3873064	9.250810304529896
C5410846	9.250810304529896
C2125703	9.250810304529896
C1525811	9.250810304529896
C5780079	9.250810304529896
C2043422	9.250810304529896
C2711352	9.250810304529896
C2454963	9.250810304529896
C4015002	9.250810304529896
C4028332	9.250810304529896
C4305203	9.250810304529896
C4028439	9.250810304529896
C1525288	9.250810304529896
C5779177	9.250810304529896
C5404765	9.250810304529896
C3824878	9.250810304529896
C4738666	9.250810304529896
C5223336	9.250810304529896
C3836761	9.250810304529896
C2457168	9.250810304529896
C0179844	9.250810304529896
C2732439	9.250810304529896
C2321367	9.250810304529896
C4527280	9.250810304529896
C2043555	9.250810304529896
C0845936	9.250810304529896
C0373284	9.250810304529896
C5220153	9.250810304529896
C2455704	9.250810304529896
C3898477	9.250810304529896
C4523917	9.250810304529896
C2185972	9.250810304529896
C2447862	9.250810304529896
C5420733	9.250810304529896
C2455553	9.250810304529896
C4028481	9.250810304529896
C2368200	9.250810304529896
C4699218	9.250810304529896
C2551789	9.250810304529896
C2515634	9.250810304529896
C2318606	9.250810304529896
C5886620	9.250810304529896
C5697447	9.250810304529896
C2317077	9.250810304529896
C5928596	9.250810304529896
C2206387	9.250810304529896
C2322467	9.250810304529896
C2041167	9.250810304529896
C0844265	9.250810304529896
C0456847	9.250810304529896
C4029185	9.250810304529896
C4028419	9.250810304529896
C5921402	9.250810304529896
C5223387	9.250810304529896
C5189624	9.250810304529896
C2029671	9.250810304529896
C1524564	9.250810304529896
C5695554	9.250810304529896
C2454747	9.250810304529896
C5691951	9.250810304529896
C5410891	9.250810304529896
C0239857	9.250810304529896
C2238899	9.250810304529896
C1953951	9.250810304529896
C1314088	9.250810304529896
C0373162	9.250810304529896
C4028378	9.250810304529896
C5223433	9.250810304529896
C0183399	9.250810304529896
C5696176	9.250810304529896
C0204135	9.250810304529896
C0882530	9.250810304529896
C5765125	9.250810304529896
C2456561	9.250810304529896
C5223432	9.250810304529896
C3554170	9.250810304529896
C0846477	9.250810304529896
C3862378	9.250810304529896
C2123116	9.250810304529896
C5224941	9.250810304529896
C5411060	9.250810304529896
C0918137	9.250810304529896
C5411023	9.250810304529896
C5219724	9.250810304529896
C0845912	9.250810304529896
